name,translation,cookware_note,serves,cooking_time,detail_fetched,error,event_target
Carrot Soup,,,6,04 minutes,True,,DataList$ctl01$dlst$ctl24$ctl00
Cauliflower with Fennel,,,,10 minutes or less,True,,DataList$ctl01$dlst$ctl25$ctl00
Charchari,Mixed Vegetables - Bengal Style,,10,00 minutes,True,,DataList$ctl01$dlst$ctl26$ctl00
Chilled Cauliflower Soup,,,,10 minutes or less,True,,DataList$ctl01$dlst$ctl27$ctl00
Christmas Pudding,,,6,50 minutes,True,,DataList$ctl01$dlst$ctl28$ctl00
Coconut Chutney Futura Nonstick Appachatty,,,,10 minutes or less,True,,DataList$ctl01$dlst$ctl29$ctl00
Coconut Chutney on 33 cm Futura Nonstick Dosa Tava,,,,Masala Uttapam.,True,,DataList$ctl01$dlst$ctl30$ctl00
Coconut Chutney Futura Nonstick Flat Tava 30 cm,,,,10 minutes or less,True,,DataList$ctl01$dlst$ctl31$ctl00
Dalma,Green Gram with Vegetables - Orissa Style,,8,5 minutes,True,,DataList$ctl01$dlst$ctl32$ctl00
Dhania Chutney,Green Coriander Chutney,on 33 cm Futura Nonstick Dosa Tava,,10 minutes or less,True,,DataList$ctl01$dlst$ctl33$ctl00
Dum Aloo,Potatoes in Thick Gravy,,12,3 minutes,True,,DataList$ctl01$dlst$ctl34$ctl00
Dum Aloo,Potatoes in Thick Gravy,Futura Hard Anodised 3 Litre Handi (Saucepan),,10 minutes or less,True,,DataList$ctl01$dlst$ctl35$ctl00
Dutch Beets,,,10,16 minutes,True,,DataList$ctl01$dlst$ctl36$ctl00
Erissery,Pumpkin and Red Karamani Beans with Coconut,,,10 minutes or less,True,,DataList$ctl01$dlst$ctl37$ctl00
French Beans with Coconut and Garlic Futura Hard Anodised 3 Litre Handi,Saucepan,,6,,True,,DataList$ctl01$dlst$ctl38$ctl00
French Fries Futura Hard Anodised 2.5 Litre Deep-Fry Pan,,,,10 minutes or less,True,,DataList$ctl01$dlst$ctl39$ctl00
Fresh Peas à la Francaise,,,12,01 minutes,True,,DataList$ctl01$dlst$ctl40$ctl00
Fresh Peas and Carrots with Lettuce,,,,10 minutes or less,True,,DataList$ctl01$dlst$ctl41$ctl00
Gajar Halwa,Carrot Pudding,,"12
10",,True,,DataList$ctl01$dlst$ctl42$ctl00
Green Beans and Tomatoes with Basil,,,,10 minutes or less,True,,DataList$ctl01$dlst$ctl43$ctl00
Guava Jelly,,,,15 minutes,True,,DataList$ctl01$dlst$ctl44$ctl00
Gujarati Batata Saag,Potatoes - Gujarat Style,,,10 minutes or less,True,,DataList$ctl01$dlst$ctl45$ctl00
Hash Brown Potatoes Futura Hard Anodised Frying Pan 25 cm,,,4,,True,,DataList$ctl01$dlst$ctl46$ctl00
Hash Brown Potatoes Futura Nonstick Frying Pan 26 cm,,,,10 minutes or less,True,,DataList$ctl01$dlst$ctl47$ctl00
Hirva Masalyachi Bhaji,Vegetables in Green Masala,,10,2 minutes,True,,DataList$ctl01$dlst$ctl48$ctl00
Kappa Puzhuku,Tapioca with Coconut,,,10 minutes or less,True,,DataList$ctl01$dlst$ctl49$ctl00
Kurukku Kalan,Vegetables in Curd,,10,3 minutes,True,,DataList$ctl01$dlst$ctl50$ctl00
Kuttu,Mixed Vegetables - Tamil Style,,,10 minutes or less,True,,DataList$ctl01$dlst$ctl51$ctl00
Kuttu Curry,Bengal Gram and Vegetable Curry,,10,2 minutes,True,,DataList$ctl01$dlst$ctl52$ctl00
Lemon Pudding with Orange Marmalade Sauce,,,,10 minutes or less,True,,DataList$ctl01$dlst$ctl53$ctl00
Masala Gobi,Spicy Cauliflower,,6,2 minutes,True,,DataList$ctl01$dlst$ctl54$ctl00
Mashed Potatoes,,,,10 minutes or less,True,,DataList$ctl01$dlst$ctl55$ctl00
Matar Paneer,Cottage Cheese and Pea Curry,,8,1 minute,True,,DataList$ctl01$dlst$ctl56$ctl00
Meha Tamata,Tindas and Tomatoes - Sindhi Style,,,10 minutes or less,True,,DataList$ctl01$dlst$ctl57$ctl00
Minestrone Soup,,,6,11 minutes,True,,DataList$ctl01$dlst$ctl58$ctl00
Mocha Ghanto,Banana Flower - Bengal Style,,,10 minutes or less,True,,DataList$ctl01$dlst$ctl59$ctl00
Mulligatawney Soup,,,8,03 minutes,True,,DataList$ctl01$dlst$ctl60$ctl00
Mushroom and Barley Soup,,,,10 minutes or less,True,,DataList$ctl01$dlst$ctl61$ctl00
Mushroom Stew Futura Hard Anodised Cook-n-Serve Bowl 3 Litre,,,4,about 29 minutes,True,,DataList$ctl01$dlst$ctl62$ctl00
Navratan Khorma,Mixed Vegetables and Cottage Cheese in Curd,,,10 minutes or less,True,,DataList$ctl01$dlst$ctl63$ctl00
Nine-at-One-Time Alu Tikki,Potato Cutlets Sindhi Style,on 33 cm Futura Nonstick Dosa Tava,,,True,,DataList$ctl01$dlst$ctl64$ctl00
Oleyr Dalna,Yam Curry,,,10 minutes or less,True,,DataList$ctl01$dlst$ctl65$ctl00
Oondhiu,Mixed Vegetables - Gujarat Style,,8,02 minutes,True,,DataList$ctl01$dlst$ctl66$ctl00
Orange and Tomato Soup,,,,10 minutes or less,True,,DataList$ctl01$dlst$ctl67$ctl00
Orange Marmalade,,,,05 minutes,True,,DataList$ctl01$dlst$ctl68$ctl00
Patrail,Spiced Rolls of Colocasia Leaves,,,10 minutes or less,True,,DataList$ctl01$dlst$ctl69$ctl00
Pineapple Jam,,,,05 minutes,True,,DataList$ctl01$dlst$ctl70$ctl00
Plain Potatoes,,,,10 minutes or less,True,,DataList$ctl01$dlst$ctl71$ctl00
Potato and Cheese Soup,,,10,03 minutes,True,,DataList$ctl01$dlst$ctl72$ctl00
Rasedaar Katahal,Jackfruit Curry,,,10 minutes or less,True,,DataList$ctl01$dlst$ctl73$ctl00
Rasmisi Arbi,Colocasia Curry,,10,00 minutes,True,,DataList$ctl01$dlst$ctl74$ctl00
Ratatouille,,,,10 minutes or less,True,,DataList$ctl01$dlst$ctl75$ctl00
Roasted Gram & Peas Futura Hard Anodised Cook-n-Serve Bowl 3 Litre,,,6,about 40 minutes,True,,DataList$ctl01$dlst$ctl76$ctl00
Sai Bhaji,Spinach with Vegetable and Bengal Gram,,,10 minutes or less,True,,DataList$ctl01$dlst$ctl77$ctl00
Samosa,Savoury Stuffed Pastries,Futura Nonstick 4 Litre Deep-Fry  Pan (Kadhai),,,True,,DataList$ctl01$dlst$ctl78$ctl00
Samosas,Savoury Stuffed Pastries,Futura Hard Anodised 2.5 Litre Deep-Fry Pan,,10 minutes or less,True,,DataList$ctl01$dlst$ctl79$ctl00
Sautéed Vegetables Futura Hard Anodised Frying Pan 25 cm,,,6,,True,,DataList$ctl01$dlst$ctl80$ctl00
Sautéed Vegetables 2 Litre Futura Nonstick Curry Pan,Saute Pan,with Glass Lid,,10 minutes or less,True,,DataList$ctl01$dlst$ctl81$ctl00
Sautéed Vegetables Futura Nonstick Frying Pan 26 cm,,,6,,True,,DataList$ctl01$dlst$ctl82$ctl00
Shaker Ghanto,Spinach with Mixed Vegetables,,,10 minutes or less,True,,DataList$ctl01$dlst$ctl83$ctl00
Spinach and Yogurt,,,2,00 minutes,True,,DataList$ctl01$dlst$ctl84$ctl00
Stir - Fried Bean Sprouts and Vegetables Futura Hard Anodised 2.5 Litre Deep-Fry Pan,,,,10 minutes or less,True,,DataList$ctl01$dlst$ctl85$ctl00
Stir-Fried Bean Sprouts and Vegetables Futura Nonstick 2 Litre Deep-Fry  Pan Stir-Fry Pan,,,7,,True,,DataList$ctl01$dlst$ctl86$ctl00
Stir-Fried Chinese Noodles & Vegetables Futura Nonstick 3 Litre Stir-Fry Wok,Deep-Fry Pan,,,10 minutes or less,True,,DataList$ctl01$dlst$ctl87$ctl00
Stuffed Green Peppers,,,4,01 minutes,True,,DataList$ctl01$dlst$ctl88$ctl00
Stuffed Tomatoes,,,,10 minutes or less,True,,DataList$ctl01$dlst$ctl89$ctl00
Stuffed Vegetable Cutlets Futura Hard Anodised 2.5 Litre Deep-Fry Pan,,,,,True,,DataList$ctl01$dlst$ctl90$ctl00
Sukhi Bhaji,Braised Mixed Vegetables,Futura Hard Anodised 3 Litre Handi (Saucepan),,10 minutes or less,True,,DataList$ctl01$dlst$ctl91$ctl00
Suran Batata nu Saag,Yam and Potato Curry,,8,02 minutes,True,,DataList$ctl01$dlst$ctl92$ctl00
Tendliche Nisthae,Spiced Gherkins - Mangalore Style,,,10 minutes or less,True,,DataList$ctl01$dlst$ctl93$ctl00
Thiyyal,Jackfruit Seed Curry,,10,2 minutes,True,,DataList$ctl01$dlst$ctl94$ctl00
Tomato Soup,,,,10 minutes or less,True,,DataList$ctl01$dlst$ctl95$ctl00
Vazhakkai Podimas,Raw Banana with Coconut,,8,04 minutes,True,,DataList$ctl01$dlst$ctl96$ctl00
Vegetable and Pasta Soup,,,,10 minutes or less,True,,DataList$ctl01$dlst$ctl97$ctl00
Vegetable Hot-Pot,,,8,02 minutes,True,,DataList$ctl01$dlst$ctl98$ctl00
Vegetable Pakoras,Vegetable Fritters,Futura Hard Anodised 2.5 Litre Deep-Fry Pan,,10 minutes or less,True,,DataList$ctl01$dlst$ctl99$ctl00
Vegetable Pilau 3 Litre Futura Nonstick Cook-n-Serve Stewpot with Glass Lid,,,6,,True,,DataList$ctl01$dlst$ctl100$ctl00
Vegetable Rolls on 33 cm Futura Nonstick Dosa Tava,,,,10 minutes or less,True,,DataList$ctl01$dlst$ctl101$ctl00
Vegetable Stock,,,,15 minutes,True,,DataList$ctl01$dlst$ctl102$ctl00
Vegetarian Snacks on Toothpicks Futura Hard Anodised 2.5 Litre Deep-Fry Pan,,,,10 minutes or less,True,,DataList$ctl01$dlst$ctl103$ctl00
Vichyssoise,,,10,03 minutes,True,,DataList$ctl01$dlst$ctl104$ctl00
Yogurt and Corn Soup,,,,10 minutes or less,True,,DataList$ctl01$dlst$ctl105$ctl00
Zucchini Soup,,,6,01 minutes,True,,DataList$ctl01$dlst$ctl106$ctl00
Aloo Gobi Ki Tehari,Vegetable Pilaf - U.P. Style,,,10 minutes or less,True,,DataList$ctl02$dlst$ctl00$ctl00
Alu Paratha,Unleavened Bread Stuffed with Potatoes,Futura Nonstick Flat Tava 30 cm,,", mixing after each addition, till dough forms a soft ball (stop adding water before dough becomes wet and sticky).  Knead till dough is smooth and elastic (about 2 minutes).  Keep covered with a damp cloth about 30 minutes.",True,,DataList$ctl02$dlst$ctl01$ctl00
Alu Paratha,Unleavened Bread Stuffed with Potatoes,on Futura Nonstick Tava (Griddle) 26 cm,,10 minutes or less,True,,DataList$ctl02$dlst$ctl02$ctl00
Alu Paratha,Unleavened Bread Stuffed with Potatoes,on 26 cm Futura Hard Anodised Flat Tava (Griddle),,", mixing after each addition, till dough forms a soft ball (stop adding water before dough becomes wet and sticky). Knead till dough is smooth and elastic (about 2 minutes). Keep covered with a damp cloth about 30 minutes.",True,,DataList$ctl02$dlst$ctl03$ctl00
Alu Paratha,Unleavened Bread Stuffed with Potatoes,on 26 cm Futura Hard Anodised Tava (Griddle),,10 minutes or less,True,,DataList$ctl02$dlst$ctl04$ctl00
Appam,Rice and Coconut Milk Pancakes,Futura Nonstick Appachaty,,,True,,DataList$ctl02$dlst$ctl05$ctl00
Basmati Chawal,Basmati Rice,,,10 minutes or less,True,,DataList$ctl02$dlst$ctl06$ctl00
Basmati Rice,,,,03 minutes,True,,DataList$ctl02$dlst$ctl07$ctl00
Besan Poora,Savoury Bengal Gram Flour Pancakes,Futura Hard Anodised Frying Pan 25 cm,,10 minutes or less,True,,DataList$ctl02$dlst$ctl08$ctl00
Besan Poora,Savoury Bengal Gram Flour Pancakes,Futura Nonstick Frying Pan 26 cm,,,True,,DataList$ctl02$dlst$ctl09$ctl00
Bhath,Plain Colam Rice,,,10 minutes or less,True,,DataList$ctl02$dlst$ctl10$ctl00
Bhath,Plain Rice,,8,05 minutes,True,,DataList$ctl02$dlst$ctl11$ctl00
Brown Rice,,,,10 minutes or less,True,,DataList$ctl02$dlst$ctl12$ctl00
Chana Dal Paratha,Unleavened Bread Stuffed with Bengal Gram,on 26 cm Futura Hard Anodised Tava (Griddle),,", mixing after each addition, till dough forms a soft ball (stop adding water before dough becomes wet and sticky). Knead till dough is smooth and elastic (about 2 minutes). Keep covered with a damp cloth about 30 minutes.",True,,DataList$ctl02$dlst$ctl13$ctl00
Chana Dal Pilaf,,,,10 minutes or less,True,,DataList$ctl02$dlst$ctl14$ctl00
Chana Dal Pulao,Bengal gram Pilaf,,6,3 minutes,True,,DataList$ctl02$dlst$ctl15$ctl00
Channa Dal Paratha,Unleavened Bread Stuffed with Bengal Gram,on Futura Nonstick Tava (Griddle) 26 cm,,10 minutes or less,True,,DataList$ctl02$dlst$ctl16$ctl00
Chicken and Rice Casserole,,,8,06 minutes,True,,DataList$ctl02$dlst$ctl17$ctl00
Chinese Fried Rice,,,,10 minutes or less,True,,DataList$ctl02$dlst$ctl18$ctl00
Cholar Daler Pulao,Bengal Gram Pulao,,8,03 minutes,True,,DataList$ctl02$dlst$ctl19$ctl00
Choru,Plain Parboiled Rice,,,10 minutes or less,True,,DataList$ctl02$dlst$ctl20$ctl00
Crispy Dosa,Rice and Gram Pancakes,on 33 cm Futura Nonstick Dosa Tava,,", add ½ tsp/2.5 ml oil around edges of dosa and dribble ½ tsp/2.5 ml oil all over dosa. Turn over. Cook 1 minute, pressing gently with spatula all over dosa to flatten. Remove. Keep heat at medium-high. Cook remaining dosa in the same way as the first dosa except reduce cooking time before turning over dosa from about 3 minutes to about 2 minutes. Serve hot, accompanied with Coconut Chutney.",True,,DataList$ctl02$dlst$ctl21$ctl00
Dosa,Rice and Gram Pancakes,on 26 cm Futura Hard Anodised Flat Tava (Griddle),,10 minutes or less,True,,DataList$ctl02$dlst$ctl22$ctl00
Dosa,Rice and Gram Pancakes,Futura Nonstick Flat Tava 30 cm,,,True,,DataList$ctl02$dlst$ctl23$ctl00
Elumichham Pazham Saadham,Lime Rice - Tamil Style,,,10 minutes or less,True,,DataList$ctl02$dlst$ctl24$ctl00
French Toast Futura Nonstick Flat Tava 30 cm,,,,,True,,DataList$ctl02$dlst$ctl25$ctl00
French Toast Futura Nonstick Frying Pan 26 cm,,,,10 minutes or less,True,,DataList$ctl02$dlst$ctl26$ctl00
Gobi Paratha,Unleavened Bread Stuffed with Cauliflower,on Futura Nonstick Tava (Griddle) 26 cm,,", mixing after each addition, till dough forms a soft ball (stop adding water before dough becomes wet and sticky). Knead till dough is smooth and elastic (about 2 minutes). Keep covered with a damp cloth about 30 minutes.",True,,DataList$ctl02$dlst$ctl27$ctl00
Gobi Paratha,Unleavened Bread Stuffed with Cauliflower,on 26 cm Futura Hard Anodised Tava (Griddle),,10 minutes or less,True,,DataList$ctl02$dlst$ctl28$ctl00
Khichuri,Soft Rice with Green Gram and Vegetables,,10,4 minutes,True,,DataList$ctl02$dlst$ctl29$ctl00
Lapsi,Sweetened Broken Wheat,,,10 minutes or less,True,,DataList$ctl02$dlst$ctl30$ctl00
Macaroni with Cheese Sauce,,,4,04 minutes,True,,DataList$ctl02$dlst$ctl31$ctl00
Makai ki Roti,Corn Meal Flat Bread,on Futura Nonstick Tava (Griddle) 26 cm,,10 minutes or less,True,,DataList$ctl02$dlst$ctl32$ctl00
Makai ki Roti,Corn Meal Flat Bread,on 26 cm Futura Hard Anodised Tava (Griddle),,", mixing after each addition, till dough forms a soft ball. Make 12 balls about 13/4 inch/4.5 cm in diameter. Keep covered with a damp cloth.",True,,DataList$ctl02$dlst$ctl33$ctl00
Masala Bhath,Spiced Rice with Gherkins,,,10 minutes or less,True,,DataList$ctl02$dlst$ctl34$ctl00
Masala Dosa,Rice and Gram Pancakes with Spicy Potato Filling,on 33 cm Futura Nonstick Dosa Tava,,", add ½ tsp/2.5 ml oil around edges of dosa and dribble ½ tsp/2.5 ml oil all over dosa. Turn over. Cook 45 seconds, pressing gently with spatula all over dosa to flatten. Turn over. Quickly place ½ cup/100 g filling on one side of the centre of dosa and spread into a rectangular shape about 1¾ inch/4.5 cm wide and 8 inch/20 cm long as shown in Figure G. Fold one large side of dosa over filling as shown in Figure H. Fold over the opposite side of dosa as shown in Figure I. Remove. Keep heat at medium-high. Cook remaining masala dosa in the same way as the first masala dosa except reduce cooking time before turning over dosa from about 3 minutes to about 2 minutes. Serve hot, accompanied with Coconut Chutney.",True,,DataList$ctl02$dlst$ctl35$ctl00
Meethe Chawal,Sweetened Yellow Rice,,,10 minutes or less,True,,DataList$ctl02$dlst$ctl36$ctl00
Meethe Chawal,Sweet Saffron Rice,Futura Hard Anodised 3 Litre Handi (Saucepan),6,,True,,DataList$ctl02$dlst$ctl37$ctl00
Millet,,,,10 minutes or less,True,,DataList$ctl02$dlst$ctl38$ctl00
Mixed Vegetable Pulao,,,8,3 minutes,True,,DataList$ctl02$dlst$ctl39$ctl00
Naranaran,Tamarind Rice,,,10 minutes or less,True,,DataList$ctl02$dlst$ctl40$ctl00
Paella,,,6,03 minutes,True,,DataList$ctl02$dlst$ctl41$ctl00
Pancakes Futura Nonstick Frying Pan 26 cm,,,,10 minutes or less,True,,DataList$ctl02$dlst$ctl42$ctl00
Pancakes Futura Hard Anodised Frying Pan 25 cm,,,,s. Place in a bowl.,True,,DataList$ctl02$dlst$ctl43$ctl00
Papdi ni Khichdi,Broad Bean Pulao,,,10 minutes or less,True,,DataList$ctl02$dlst$ctl44$ctl00
Paratha,Layered Unleavened Bread,on Futura Nonstick Tava (Griddle) 26 cm,,", mixing after each addition, till dough forms a soft ball (stop adding water before dough becomes wet and sticky). Knead till dough is smooth and elastic (about 2 minutes). Keep covered with a damp cloth about 30 minutes.",True,,DataList$ctl02$dlst$ctl45$ctl00
Paratha,Layered Unleavened Bread,on 26 cm Futura Hard Anodised Flat Tava (Griddle),,10 minutes or less,True,,DataList$ctl02$dlst$ctl46$ctl00
Paratha,Layered Unleavened Bread,on 26 cm Futura Hard Anodised Tava (Griddle),,", mixing after each addition, till dough forms a soft ball (stop adding water before dough becomes wet and sticky). Knead till dough is smooth and elastic (about 2 minutes). Keep covered with a damp cloth about 30 minutes.",True,,DataList$ctl02$dlst$ctl47$ctl00
Paratha,Layered Unleavened Bread,Futura Nonstick Flat Tava 30 cm,,10 minutes or less,True,,DataList$ctl02$dlst$ctl48$ctl00
Phulka,Puffed Unleavened Bread,Futura Nonstick Flat Tava 30 cm,,", mixing after each addition, till dough forms a soft ball (stop adding water before dough becomes wet and sticky).  Knead till dough is smooth and elastic (about 2 minutes).  Keep covered with a damp cloth about 30 minutes.",True,,DataList$ctl02$dlst$ctl49$ctl00
Phulka,Puffed Unleavened Bread,on 26 cm Futura Hard Anodised Tava (Griddle),,10 minutes or less,True,,DataList$ctl02$dlst$ctl50$ctl00
Phulka,Puffed Unleavened Bread,on Futura Nonstick Tava (Griddle) 26 cm,,", mixing after each addition, till dough forms a soft ball (stop adding water before dough becomes wet and sticky). Knead till dough is smooth and elastic (about 2 minutes). Keep covered with a damp cloth about 30 minutes.",True,,DataList$ctl02$dlst$ctl51$ctl00
Pudina Paratha,Layered Unleavened Bread with Mint,on 26 cm Futura Hard Anodised Tava (Griddle),,10 minutes or less,True,,DataList$ctl02$dlst$ctl52$ctl00
Pudina Paratha,Layered Unleavened Bread with Mint,on Futura Nonstick Tava (Griddle) 26 cm,,", mixing after each addition, till dough forms a soft ball (stop adding water before dough becomes wet and sticky). Knead till dough is smooth and elastic (about 2 minutes). Keep covered with a damp cloth about 30 minutes.",True,,DataList$ctl02$dlst$ctl53$ctl00
Puran Poli,Sweet Stuffed Unleavened Bread,on Futura Nonstick Tava (Griddle) 26 cm,,10 minutes or less,True,,DataList$ctl02$dlst$ctl54$ctl00
Puran Poli,Sweet Stuffed Unleavened Bread,on 26 cm Futura Hard Anodised Tava (Griddle),,", kneading after each addition, till dough is very soft, elastic and no longer sticky. Keep covered 1 hour.",True,,DataList$ctl02$dlst$ctl55$ctl00
Puris,Fried Puffed Unleavened Bread,Futura Hard Anodised 2.5 Litre Deep-Fry Pan,,10 minutes or less,True,,DataList$ctl02$dlst$ctl56$ctl00
Randhaycho Pulao,Vegetable Pulao - Mangalore Style,,8,03 minutes,True,,DataList$ctl02$dlst$ctl57$ctl00
Rawa Dosa,Semolina and Gram Pancakes,Futura Nonstick Flat Tava 30 cm,,10 minutes or less,True,,DataList$ctl02$dlst$ctl58$ctl00
Rawa Dosa,Semolina and Gram Pancakes,on 26 cm Futura Hard Anodised Flat Tava (Griddle),,,True,,DataList$ctl02$dlst$ctl59$ctl00
Rawa Dosa,Semolina and Gram Pancakes,on 33 cm Futura Nonstick Dosa Tava,,10 minutes or less,True,,DataList$ctl02$dlst$ctl60$ctl00
Sabudana Wadas,Sago Patties,Futura Hard Anodised 2.5 Litre Deep-Fry Pan,,,True,,DataList$ctl02$dlst$ctl61$ctl00
Sevian Kheer,Vermicelli Pudding,Futura Hard Anodised 3 Litre Handi (Saucepan),,10 minutes or less,True,,DataList$ctl02$dlst$ctl62$ctl00
Sooji Halwa,Semolina Pudding,3 Litre Futura Nonstick Cook-n-Serve Bowl with Glass Lid,12,,True,,DataList$ctl02$dlst$ctl63$ctl00
Sooji Halwa,Semolina Pudding,Futura Hard Anodised Cook-n-Serve Bowl 3 Litre,,10 minutes or less,True,,DataList$ctl02$dlst$ctl64$ctl00
Spanish Rice Casserole,,,6,6 minutes,True,,DataList$ctl02$dlst$ctl65$ctl00
Spanish Rice Casserole Futura Hard Anodised Cook-n-Serve Bowl 3 Litre,,,,10 minutes or less,True,,DataList$ctl02$dlst$ctl66$ctl00
Sukhi Dal,Dry Split Skinned Green Gram,3 Litre Futura Nonstick Saucepan with Glass Lid,6,,True,,DataList$ctl02$dlst$ctl67$ctl00
Three-at-One-Time Masala Uttapam,Savoury Rice and Gram Pancakes,on 33 cm Futura Nonstick Dosa Tava,,10 minutes or less,True,,DataList$ctl02$dlst$ctl68$ctl00
Traditional South Indian Dosa,Rice and Gram Pancakes,on 33 cm Futura Nonstick Dosa Tava,,", add ½ tsp/2.5 ml oil around edges of dosa and dribble ½ tsp/2.5 ml oil all over dosa. Turn over. Cook 1 minute, pressing gently with spatula all over dosa to flatten. Remove. Keep heat at medium-high. Cook remaining dosa in the same way as the first dosa except reduce cooking time before turning over dosa from about 3 minutes to about 2 minutes. Serve hot, accompanied with Coconut Chutney.",True,,DataList$ctl02$dlst$ctl69$ctl00
Tuvar Dal ni Khichdi,Rice with Red Gram,,,10 minutes or less,True,,DataList$ctl02$dlst$ctl70$ctl00
Uttapam,Savoury Rice and Gram Pancakes,Futura Nonstick Frying Pan 26 cm,,,True,,DataList$ctl02$dlst$ctl71$ctl00
Uttapam,Savoury Rice and Gram Pancakes,Futura Nonstick Flat Tava 30 cm,,10 minutes or less,True,,DataList$ctl02$dlst$ctl72$ctl00
Uttapam,Rice and Gram Pancakes,on 33 cm Futura Nonstick Dosa Tava,,,True,,DataList$ctl02$dlst$ctl73$ctl00
Uttapam,Savoury Rice and Gram Pancakes,on 26 cm Futura Hard Anodised Flat Tava (Griddle),,10 minutes or less,True,,DataList$ctl02$dlst$ctl74$ctl00
Vagharela Chawal,Fried Rice - Parsi Style,,10,3 minutes,True,,DataList$ctl02$dlst$ctl75$ctl00
Vangi Bhath,Spiced Brinjal Pulao,,,10 minutes or less,True,,DataList$ctl02$dlst$ctl76$ctl00
Vegetable Biryani,Rice Layered with Spicy Vegetables,,7,3 minutes,True,,DataList$ctl02$dlst$ctl77$ctl00
Vegetable Pilaf,,,,10 minutes or less,True,,DataList$ctl02$dlst$ctl78$ctl00
Vegetable Pilau Futura Hard Anodised 3 Litre Handi,Saucepan,,6,,True,,DataList$ctl02$dlst$ctl79$ctl00
Ven Pongal,Rice Cooked with Split Green Gram,,,10 minutes or less,True,,DataList$ctl02$dlst$ctl80$ctl00
Welsh Griddle Cakes on Futura Nonstick Tava,Griddle,26 cm,,s. Place in large bowl.,True,,DataList$ctl02$dlst$ctl81$ctl00
Welsh Griddle Cakes on 26 cm Futura Hard Anodised Tava,Griddle,,,10 minutes or less,True,,DataList$ctl02$dlst$ctl82$ctl00
Wheat Berries,,,,15 minutes,True,,DataList$ctl02$dlst$ctl83$ctl00
White Rice,,,,10 minutes or less,True,,DataList$ctl02$dlst$ctl84$ctl00
